ego,artist,time,genre,exposed,genre_idx
0,13684,1778372694,20.0,0,6
0,13684,1778372694,20.0,0,6
0,13684,1778372694,20.0,0,6
0,13684,1778372694,20.0,0,6
0,13684,1778372694,20.0,0,6
1,7582,1779546732,10.0,0,1
1,3693,1779502700,10.0,0,1
1,5402,1779502672,10.0,0,1
1,1319,1779502657,10.0,0,1
1,5708,1779502640,10.0,0,1
1,8744,1779502623,10.0,0,1
1,3042,1779502606,10.0,0,1
1,2349,1779502470,10.0,0,1
1,12083,1779502465,10.0,0,1
1,8339,1779502460,10.0,0,1
1,11201,1779502455,10.0,0,1
1,3841,1779502451,10.0,0,1
1,5888,1779502445,10.0,0,1
1,11768,1779502440,10.0,0,1
1,9927,1779502434,10.0,0,1
1,5104,1779502428,10.0,0,1
1,14507,1779502423,,0,0
1,7535,1779501903,10.0,0,1
1,10630,1779501898,10.0,0,1
1,14345,1779501889,10.0,0,1
1,13656,1779501884,10.0,0,1
1,8982,1779501879,10.0,0,1
1,7412,1779501869,,0,0
1,5898,1779501864,26.0,0,0
1,3693,1779501859,10.0,0,1
2,13684,1779657453,20.0,0,6
2,13684,1779657453,20.0,0,6
2,13684,1779657453,20.0,0,6
2,13684,1778078938,20.0,0,6
2,13684,1778078938,20.0,0,6
3,4113,1779980154,,1,0
3,12982,1779974514,,1,0
3,4364,1779643256,10.0,1,1
3,12544,1779040364,,1,0
3,12829,1778880902,10.0,1,1
3,14498,1778714712,,1,0
3,2883,1778593742,,1,0
3,5993,1778512535,10.0,1,1
3,13268,1778424895,10.0,1,1
3,13268,1778424858,10.0,1,1
3,7475,1778288710,10.0,1,1
3,7475,1778288698,10.0,1,1
3,7475,1778288686,10.0,1,1
3,7475,1778288672,10.0,1,1
3,7475,1778288672,10.0,1,1
3,7475,1778288672,10.0,1,1
3,7475,1778288672,10.0,1,1
3,7475,1778288672,10.0,1,1
3,4997,1778203528,10.0,1,1
3,7151,1778187546,10.0,1,1
3,1565,1778187430,,1,0
3,8983,1778182340,,1,0
4,10128,1780159342,10.0,1,1
4,2967,1780159341,10.0,1,1
4,3204,1780159339,10.0,1,1
4,3204,1780159339,10.0,1,1
4,11019,1780159338,10.0,1,1
4,11884,1780159337,10.0,1,1
4,5083,1780159336,,1,0
4,6321,1780159335,10.0,1,1
4,9207,1780159334,,1,0
4,8217,1780159333,,1,0
4,10765,1779993841,,1,0
4,3204,1779993840,10.0,1,1
4,8907,1779993839,10.0,1,1
4,12059,1779993835,10.0,1,1
4,9821,1779993834,10.0,1,1
4,13499,1779993833,10.0,1,1
4,5371,1779993831,10.0,1,1
4,1717,1779993827,10.0,1,1
4,5374,1779993822,,1,0
4,2967,1779993820,10.0,1,1
4,3696,1779993819,10.0,1,1
4,8988,1779993817,,1,0
4,323,1779993816,10.0,1,1
4,2126,1779993814,10.0,1,1
4,1338,1779993811,,1,0
4,13324,1779993810,9.0,1,0
4,13324,1779993810,9.0,1,0
4,11654,1779993805,10.0,1,1
4,8515,1779993803,,1,0
4,9457,1778855414,10.0,1,1
4,13651,1778855413,,1,0
4,11731,1778855412,10.0,1,1
4,13627,1778847766,10.0,1,1
4,13627,1778847765,10.0,1,1
4,9362,1778847764,10.0,1,1
4,7565,1778847763,10.0,1,1
4,9996,1778847763,10.0,1,1
4,13655,1778847762,10.0,1,1
4,8839,1778847760,10.0,1,1
4,4171,1778847469,10.0,1,1
4,6610,1778847465,10.0,1,1
4,2126,1778847461,10.0,1,1
4,14408,1778847457,10.0,1,1
4,8632,1778847453,,1,0
4,702,1778235606,10.0,1,1
4,14408,1778235603,10.0,1,1
4,2394,1778235598,10.0,1,1
4,7111,1778235594,10.0,1,1
4,4141,1778166927,10.0,1,1
4,8606,1778166923,10.0,1,1
4,2425,1778166919,10.0,1,1
4,5995,1778166915,10.0,1,1
4,13927,1778078898,10.0,1,1
5,5069,1778110956,,0,0
5,569,1778110934,10.0,0,1
5,5915,1778110921,10.0,0,1
5,5915,1778110921,10.0,0,1
5,5915,1778110921,10.0,0,1
5,9520,1778110921,10.0,0,1
5,9520,1778110921,10.0,0,1
5,11612,1778110887,,0,0
5,6227,1778110863,10.0,0,1
6,7934,1778468225,10.0,1,1
6,6042,1778468214,10.0,1,1
6,10934,1778468210,,1,0
6,10934,1778468210,,1,0
