purchased,artist
1777784401,6662
1777784403,10962
1777784414,2828
1777784421,7771
1777784428,14295
1777784433,11839
1777784433,11839
1777784435,10446
1777784436,3499
1777784437,2691
1777784437,2691
1777784437,2691
1777784437,2691
1777784443,14092
1777784443,14092
1777784448,8361
1777784450,9221
1777784452,2121
1777784458,948
1777784461,2899
1777784462,12689
1777784462,12689
1777784464,10852
1777784464,10852
1777784464,10852
1777784472,7733
1777784472,7733
1777784472,7733
1777784472,7733
1777784474,7426
1777784484,11588
1777784484,3860
1777784487,7808
1777784488,3860
1777784496,13739
1777784502,2940
1777784502,811
1777784510,6489
1777784519,13127
1777784523,5395
1777784540,3353
1777784542,9543
1777784549,4387
1777784564,7277
1777784568,13139
1777784571,2940
1777784577,9463
1777784577,9463
1777784584,3862
1777784586,8294
1777784593,10244
1777784593,3456
1777784596,5486
1777784596,9303
1777784597,1722
1777784597,3349
1777784597,894
1777784597,1201
1777784598,2072
1777784599,2737
1777784602,12597
1777784603,6722
1777784603,6722
1777784609,971
1777784615,7922
1777784616,6865
1777784618,6337
1777784619,7373
1777784626,3145
1777784630,1553
1777784631,8418
1777784632,1382
1777784634,11674
1777784634,8983
1777784643,3430
1777784644,9596
1777784647,9221
1777784657,6627
1777784665,13084
1777784671,3333
1777784672,9918
1777784678,9596
1777784687,1943
1777784688,5629
1777784689,13627
1777784690,9488
1777784701,1802
1777784705,4368
1777784709,9596
1777784711,3204
1777784711,11668
1777784716,12421
1777784722,10491
1777784727,4865
1777784732,10808
1777784742,10630
1777784743,496
1777784752,12616
1777784765,4613
1777784772,613
1777784777,13097
1777784777,13097
1777784777,6262
1777784786,1681
1777784786,4407
1777784787,10532
1777784787,8832
1777784804,2528
1777784804,6145
1777784809,4820
1777784809,9084
1777784812,12616
1777784813,3922
1777784814,8604
1777784814,13418
1777784822,8694
1777784822,8694
1777784825,505
1777784839,10856
1777784848,3164
1777784848,4871
1777784859,487
1777784859,8721
1777784863,9596
1777784864,7519
1777784864,7519
1777784864,7519
1777784867,4957
1777784867,6682
1777784873,1032
1777784875,2102
1777784889,6347
1777784891,11359
1777784891,11126
1777784907,6889
1777784913,4635
1777784931,11604
1777784934,294
1777784934,294
1777784934,294
1777784934,294
1777784939,8983
1777784943,12049
1777784949,8810
1777784950,9943
1777784965,1416
1777784973,2523
1777784979,8121
1777784980,316
1777784993,7136
1777784994,6370
1777784997,12842
1777785002,106
1777785008,2885
1777785008,10952
1777785015,11639
1777785021,7538
1777785021,11021
1777785025,4303
1777785026,2780
1777785031,6187
1777785033,11548
1777785036,5093
1777785041,4479
1777785047,3954
1777785051,9084
1777785051,9084
1777785052,7981
1777785052,3413
1777785058,13831
1777785068,4086
1777785074,9016
1777785077,8222
1777785077,8222
1777785085,4102
1777785086,10639
1777785086,13161
1777785086,13161
1777785089,6746
1777785090,6676
1777785092,3365
1777785104,4187
1777785107,4238
1777785107,7612
1777785113,5490
1777785125,4428
1777785125,4428
1777785129,10810
1777785133,1310
1777785136,13057
1777785136,3621
1777785136,3621
1777785137,230
1777785139,7237
1777785142,53
1777785143,1855
1777785144,288
1777785146,9711
1777785146,10643
1777785160,4712
1777785161,12844
1777785165,6669
1777785166,6251
1777785167,9945
1777785167,10637
1777785167,6338
1777785167,6338
1777785167,6338
1777785172,8116
1777785173,14325
1777785175,9605
1777785181,11997
1777785182,567
1777785186,9768
1777785186,6330
1777785190,9303
1777785190,3393
1777785190,12488
1777785199,2768
1777785208,8814
1777785223,1036
1777785229,1606
1777785238,10332
1777785238,10332
1777785239,11352
1777785239,9958
1777785249,5983
1777785264,2162
1777785264,2162
1777785264,2162
1777785264,2162
1777785264,2162
1777785268,996
1777785268,5213
1777785273,10037
1777785275,14534
1777785286,13139
1777785289,12625
1777785292,11782
1777785300,7892
1777785302,11268
1777785305,8832
1777785309,4479
1777785317,7687
1777785322,10784
1777785329,6599
1777785335,12555
1777785339,11599
1777785349,11839
1777785349,11839
1777785350,12950
1777785353,12616
1777785355,6100
1777785358,8832
1777785362,5090
1777785363,13497
1777785367,288
1777785370,11731
1777785374,1683
1777785376,2042
1777785378,14379
1777785379,12237
1777785382,8907
1777785385,9336
1777785388,11837
1777785392,7986
1777785411,7093
1777785419,1656
1777785424,8080
1777785424,8080
1777785427,4865
1777785427,7177
1777785439,8832
1777785441,9517
1777785443,230
1777785445,1241
1777785445,7330
1777785451,5122
1777785458,13408
1777785458,13408
1777785458,13408
1777785459,2892
1777785461,9645
1777785462,1416
1777785464,2105
