alter,artist,time,follow_time,ego
20667,10250,1776586533,1657234934,8572
20667,318,1776586542,1657234934,8572
20667,4503,1776586577,1657234934,8572
20667,5722,1776679695,1657234934,8572
20667,5722,1776679785,1657234934,8572
20667,5722,1776679811,1657234934,8572
20667,5722,1776679822,1657234934,8572
20667,5722,1776679864,1657234934,8572
20667,5722,1776679882,1657234934,8572
20667,5722,1776680998,1657234934,8572
20667,5722,1776681010,1657234934,8572
20667,5722,1776681046,1657234934,8572
20667,5722,1776681056,1657234934,8572
20667,5722,1776681072,1657234934,8572
20667,5722,1776681079,1657234934,8572
20667,5722,1776681100,1657234934,8572
20667,5722,1776681115,1657234934,8572
20667,5722,1776681120,1657234934,8572
20667,13865,1776687807,1657234934,8572
20667,13865,1776687838,1657234934,8572
20667,13865,1776687849,1657234934,8572
307340,1067,1776723905,1652395914,8572
20667,13003,1776800454,1657234934,8572
20667,9117,1776811319,1657234934,8572
20667,348,1776838729,1657234934,8572
20667,9084,1776882233,1657234934,8572
20667,11239,1777229136,1657234934,8572
20667,3864,1777243919,1657234934,8572
20667,3864,1777243980,1657234934,8572
20667,5823,1777409937,1657234934,8572
20667,5823,1777409946,1657234934,8572
20667,8588,1777455787,1657234934,8572
20667,8588,1777455794,1657234934,8572
20667,8588,1777455800,1657234934,8572
20667,8588,1777455855,1657234934,8572
20667,8588,1777455875,1657234934,8572
20667,8588,1777455883,1657234934,8572
20667,8588,1777455891,1657234934,8572
20667,8588,1777455903,1657234934,8572
20667,8588,1777455919,1657234934,8572
20667,8588,1777455930,1657234934,8572
20667,8588,1777455935,1657234934,8572
20667,8588,1777455950,1657234934,8572
20667,8588,1777455959,1657234934,8572
20667,8588,1777455972,1657234934,8572
20667,8588,1777455975,1657234934,8572
20667,8588,1777455983,1657234934,8572
20667,8588,1777455989,1657234934,8572
20667,8588,1777455999,1657234934,8572
20667,8588,1777456013,1657234934,8572
20667,8588,1777456020,1657234934,8572
20667,8588,1777456033,1657234934,8572
20667,8588,1777456037,1657234934,8572
20667,3085,1777510174,1657234934,8572
20667,3085,1777510191,1657234934,8572
20667,5072,1777525446,1657234934,8572
20667,5072,1777525455,1657234934,8572
419150,11823,1776743069,1620570049,10752
419150,6621,1776838621,1620570049,10752
382,12563,1776998841,1540828859,10752
3448121,14397,1777305963,1731081388,10752
3448121,14397,1777305970,1731081388,10752
419150,1908,1777321209,1620570049,10752
419150,14397,1777338977,1620570049,10752
419150,14397,1777339155,1620570049,10752
382,10002,1777462529,1540828859,10752
382,7212,1777462618,1540828859,10752
382,5473,1777495561,1540828859,10752
5459,5429,1776588986,1481965724,950
5459,5429,1776588986,1481965724,950
5459,5429,1776588986,1481965724,950
5459,5429,1776588986,1481965724,950
5459,5429,1776588986,1481965724,950
178,3023,1776632183,1410980652,950
4456930,10160,1776637351,1704744683,950
52627,13396,1776638416,1506194629,950
13235128,7843,1776649059,1771622520,950
13235128,9543,1776678952,1771622520,950
52627,2958,1776726355,1506194629,950
557831,2651,1776760170,1498119294,950
557831,3450,1776802642,1498119294,950
557831,6471,1776802650,1498119294,950
557831,10588,1776802653,1498119294,950
13235128,29,1776831670,1771622520,950
557831,13893,1776893788,1498119294,950
178,11625,1776910049,1410980652,950
13235128,6132,1776922245,1771622520,950
13235128,6132,1776922291,1771622520,950
4456930,10374,1776955393,1704744683,950
2378881,11625,1776966755,1620498892,950
2378881,11625,1776966755,1620498892,950
557831,3242,1776975350,1498119294,950
13235128,3121,1776991940,1771622520,950
178,10713,1777000738,1410980652,950
52627,3405,1777034075,1506194629,950
557831,1035,1777057545,1498119294,950
557831,1035,1777057545,1498119294,950
557831,10868,1777058008,1498119294,950
8570,1498,1777063273,1471899800,950
52627,3405,1777068549,1506194629,950
52627,1340,1777068634,1506194629,950
8570,6396,1777083718,1471899800,950
4456930,10160,1777171935,1704744683,950
52627,11458,1777212322,1506194629,950
13235128,6801,1777240284,1771622520,950
52627,12392,1777243877,1506194629,950
52627,12392,1777243877,1506194629,950
52627,13921,1777243900,1506194629,950
4456930,4960,1777247637,1704744683,950
13235128,7843,1777258661,1771622520,950
13235128,12805,1777390581,1771622520,950
13235128,5964,1777391186,1771622520,950
13235128,12412,1777391881,1771622520,950
13235128,8187,1777394461,1771622520,950
13235128,13172,1777394631,1771622520,950
13235128,8187,1777399513,1771622520,950
13235128,8356,1777401701,1771622520,950
13235128,9035,1777405140,1771622520,950
557831,2958,1777453287,1498119294,950
13235128,10556,1777519829,1771622520,950
557831,3898,1777571644,1498119294,950
178,4508,1777579260,1410980652,950
1846,7070,1776644743,1522020244,7685
1846,7070,1776649947,1522020244,7685
1688,11607,1776711312,1356559946,7685
1846,1531,1776724578,1522020244,7685
1846,1574,1776727038,1522020244,7685
1846,5651,1776730740,1522020244,7685
1688,10304,1776733076,1356559946,7685
1846,1574,1776737885,1522020244,7685
2683,1067,1776742161,1381002259,7685
1846,8780,1776798916,1522020244,7685
1846,13921,1776798924,1522020244,7685
1688,126,1776879922,1356559946,7685
888204,3207,1776898768,1643783876,7685
888204,3207,1776898768,1643783876,7685
2683,1586,1776902841,1381002259,7685
1846,7567,1776904443,1522020244,7685
1846,2131,1776904487,1522020244,7685
888204,11192,1776983715,1643783876,7685
1846,12461,1776990854,1522020244,7685
935794,7315,1777018935,1577735986,7685
935794,9294,1777033100,1577735986,7685
888204,3067,1777056900,1643783876,7685
1846,5386,1777059950,1522020244,7685
1846,5963,1777059954,1522020244,7685
1846,9253,1777059971,1522020244,7685
1846,8842,1777072970,1522020244,7685
1846,8373,1777092767,1522020244,7685
1846,10784,1777326839,1522020244,7685
1688,14536,1777399145,1356559946,7685
1846,8574,1777414932,1522020244,7685
1846,1531,1777414936,1522020244,7685
1846,5355,1777414942,1522020244,7685
1846,12959,1777414947,1522020244,7685
1846,6689,1777414954,1522020244,7685
1846,14522,1777414957,1522020244,7685
1846,5000,1777414961,1522020244,7685
1846,14224,1777414965,1522020244,7685
1846,5444,1777414983,1522020244,7685
2683,10638,1777415312,1381002259,7685
1688,8170,1777415571,1356559946,7685
1846,3586,1777415704,1522020244,7685
1846,3122,1777426849,1522020244,7685
1688,5473,1777487959,1356559946,7685
2683,12591,1777534174,1381002259,7685
1628388,1841,1776625286,1675710380,303
1628388,1841,1776625286,1675710380,303
306606,7463,1776736031,1425244040,303
306606,2010,1776736092,1425244040,303
306606,5273,1776736118,1425244040,303
306606,6767,1776736170,1425244040,303
306606,12200,1776736197,1425244040,303
306606,13414,1776736197,1425244040,303
306606,4407,1776736221,1425244040,303
306606,6766,1776736313,1425244040,303
306606,4581,1776736336,1425244040,303
306606,5018,1776736381,1425244040,303
306606,5018,1776736381,1425244040,303
306606,5018,1776736381,1425244040,303
306606,5018,1776736381,1425244040,303
306606,5018,1776736381,1425244040,303
306606,1657,1776736475,1425244040,303
306606,13493,1776736496,1425244040,303
306606,4639,1776736518,1425244040,303
306606,1418,1776736538,1425244040,303
306606,14081,1776736559,1425244040,303
306606,14081,1776736559,1425244040,303
306606,892,1776736660,1425244040,303
306606,12532,1776736745,1425244040,303
306606,3472,1776736821,1425244040,303
306606,6814,1776736854,1425244040,303
306606,6826,1776736870,1425244040,303
1628388,4581,1776770701,1675710380,303
1628388,333,1776903952,1675710380,303
1628388,8662,1777575546,1675710380,303
1840,13576,1776619925,1359454932,9986
1840,4617,1776773507,1359454932,9986
1840,1353,1776790969,1359454932,9986
1840,11956,1776795380,1359454932,9986
1840,3852,1776797845,1359454932,9986
1840,8024,1776887289,1359454932,9986
1840,5530,1776968065,1359454932,9986
1840,14518,1777024942,1359454932,9986
1840,3529,1777028962,1359454932,9986
1840,13258,1777049887,1359454932,9986
1840,12698,1777053597,1359454932,9986
1840,3515,1777218961,1359454932,9986
1840,10136,1777234056,1359454932,9986
1840,3515,1777244298,1359454932,9986
1840,3515,1777244489,1359454932,9986
1840,3515,1777244746,1359454932,9986
1840,3515,1777367160,1359454932,9986
3463,14522,1777349572,1380488512,5874
3463,11192,1777411043,1380488512,5874
2683,1067,1776742161,1415150977,9456
2683,1586,1776902841,1415150977,9456
2683,10638,1777415312,1415150977,9456
2683,12591,1777534174,1415150977,9456
715703,7664,1776816901,1737407395,1869
715703,7536,1776884499,1737407395,1869
715703,3298,1776885581,1737407395,1869
715703,7136,1776885585,1737407395,1869
715703,2706,1777059304,1737407395,1869
715703,11642,1777059435,1737407395,1869
715703,12354,1777061347,1737407395,1869
715703,10975,1777061376,1737407395,1869
715703,83,1777068066,1737407395,1869
715703,6627,1777068356,1737407395,1869
715703,7204,1777348669,1737407395,1869
715703,11765,1777349251,1737407395,1869
715703,6812,1777416805,1737407395,1869
2153335,7070,1776644749,1670247371,6677
2153335,7070,1776649951,1670247371,6677
45244,2523,1776731444,1398287295,6677
45244,3298,1776798505,1398287295,6677
45244,2523,1776877308,1398287295,6677
45244,1595,1776895678,1398287295,6677
1658166,6535,1776897111,1627235193,6677
2153335,2183,1776973078,1670247371,6677
45244,10730,1776984407,1398287295,6677
45244,13499,1777035071,1398287295,6677
45244,13406,1777036579,1398287295,6677
45244,11881,1777036641,1398287295,6677
4772216,14525,1777078270,1604844027,6677
2153335,1076,1777116980,1670247371,6677
45244,13279,1777117296,1398287295,6677
4772216,12364,1777142089,1604844027,6677
4772216,1373,1777146544,1604844027,6677
4772216,12891,1777149209,1604844027,6677
4772216,12891,1777150632,1604844027,6677
2153335,11893,1777335709,1670247371,6677
2153335,13706,1777335916,1670247371,6677
45244,14589,1777378891,1398287295,6677
193968,7445,1777402542,1473107616,6677
45244,10086,1777598255,1398287295,6677
2153335,1962,1777603790,1670247371,6677
2153335,6481,1777603834,1670247371,6677
2153335,8545,1777603936,1670247371,6677
2153335,11229,1777603997,1670247371,6677
2153335,3667,1777608882,1670247371,6677
1088499,4395,1776628200,1764643072,6663
1088499,10522,1776764723,1764643072,6663
1088499,8212,1776783283,1764643072,6663
1088499,4839,1776790855,1764643072,6663
1088499,9398,1776810484,1764643072,6663
1088499,2061,1776810505,1764643072,6663
158016,171,1776888341,1726004326,6663
1088499,13256,1776955416,1764643072,6663
1088499,14402,1776966750,1764643072,6663
158016,6157,1776985664,1726004326,6663
1088499,11998,1777024192,1764643072,6663
1088499,14477,1777036724,1764643072,6663
1088499,314,1777038313,1764643072,6663
1088499,314,1777038325,1764643072,6663
158016,14520,1777061733,1726004326,6663
158016,4839,1777068340,1726004326,6663
1088499,4839,1777072104,1764643072,6663
158016,5225,1777149457,1726004326,6663
158016,7068,1777150849,1726004326,6663
158016,14477,1777150898,1726004326,6663
1088499,4048,1777229642,1764643072,6663
1088499,5355,1777229668,1764643072,6663
1088499,2899,1777229773,1764643072,6663
