ego,genre_idx,collections,wishlist,followers,following_artists_labels,following_fans
690,8,4894,84,52,612,0
6593,1,1841,8290,30,899,101
14378,1,319,0,1,192,0
5498,1,31686,1600,341,3473,23
2476,1,346,1,0,93,0
3612,8,123,8,0,78,1
12326,1,1074,0,29,221,5
7470,1,71,180,0,57,1
91,1,105,122,0,104,3
560,1,1919,0,62,755,9
14035,1,17,8,0,33,1
5642,3,3034,829,84,1336,5
3209,1,1006,4,1,165,0
9146,1,223,851,7,447,9
7189,1,8352,1220,42,576,18
11969,2,105,12,3,94,4
12816,1,452,1147,159,567,183
8278,5,200,16,7,174,1
4487,1,324,57,2,169,0
1048,3,211,0,1,73,0
12312,2,317,53,13,87,4
9265,1,1885,2,20,529,3
13884,1,220,0,3,143,0
3652,1,571,191,41,559,22
1674,1,1036,0,46,552,16
5875,1,208,10,21,88,0
1187,2,51,0,0,29,0
5801,5,15677,17834,154,1738,168
13212,0,607,413,89,381,4
808,3,107,19,2,197,0
10907,1,3134,0,1938,1283,157
12109,1,1966,0,19,157,3
8254,3,969,0,12,1832,4
8743,2,1390,0,8,251,0
11090,3,459,0,6,154,0
11127,1,283,0,1,149,0
10381,1,376,0,2,123,1
6385,2,465,324,4,157,0
9381,3,270,350,16,175,11
14722,1,495,10,2,23,2
5557,1,240,965,2,399,1
8122,1,110,48,0,84,0
5961,1,978,0,39,858,9
838,1,717,0,0,24,0
8198,5,5001,0,247,2003,0
361,1,1396,4,16,818,6
5141,1,16607,0,98,18830,916
6260,1,227,9,0,155,0
5104,1,38,0,0,31,0
9911,1,2632,526,384,1670,74
9689,3,12,162,0,63,0
6437,1,402,0,7,917,1
4167,1,332,15,0,36,0
11724,10,996,52,21,584,9
12934,1,1721,319,45,413,95
10262,3,3173,2098,418,1259,0
10730,1,1919,0,104,1240,137
1389,1,2186,599,18,1525,25
2369,1,39,71,1,32,2
14150,1,23,0,0,12,0
2230,3,335,430,3,200,2
10443,1,933,204,28,479,10
9918,1,5334,0,72,1122,9
5427,8,1581,0,141,855,120
6961,2,1315,94,32,891,5
6590,4,175,5,2,53,1
4379,1,688,235,4,353,10
9204,3,724,0,3,310,0
10122,1,186,82,2,52,1
11359,2,441,1,1,193,0
9758,0,35,0,1,49,1
8166,5,2685,25,157,1240,3
2712,1,816,11024,43,1058,160
4181,1,258,445,4,248,3
13895,1,504,527,17,219,3
5471,1,2936,0,253,4003,71
4440,1,1109,733,1,650,1
14379,2,355,103,20,92,3
3337,1,1869,2925,28,879,14
12453,7,781,1,11,233,1
2332,1,6449,0,185,1535,12
639,1,2661,0,3,104,0
9036,0,835,40,10,360,5
5203,1,27,628,0,145,1
10117,3,91,231,3,184,0
252,1,358,0,6,901,9
13,0,22,0,0,21,0
5319,1,971,0,21,439,16
10473,1,64,1,2,27,0
789,1,859,35,7,453,1
2205,1,44,0,0,33,0
4732,3,589,18,34,1411,25
8894,1,562,0,13,358,86
14563,0,56,0,0,10,0
11707,8,1277,9,35,291,1
10334,1,1139,1,25,269,5
